author,n_items,cluster_id
50aec7c1-3fda-599c-94e8-b2b4e3d37558,151,3
bbc64423-e421-5ea4-a9ad-64bb660cf6b9,151,3
d50d1970-1078-540c-9b89-5378b54add71,149,3
5b32dc49-83c7-5b52-8b0f-adf5748b0afc,149,3
1963d477-0a30-564e-b2c6-0a6b0f147f29,148,3
cc66a55b-7f66-5a90-a5d7-9eb7be898b01,147,3
0c2ad151-f93a-5fc5-a930-456c8ad776a9,147,3
c77c7a06-e140-5931-9259-1a14a7bbfc31,146,3
a1502dd8-3251-5616-94e4-6091887a7e78,146,7
539156cc-a2ad-56da-803a-60cb822d1da4,146,3
1b8ed3b6-3da1-52fb-bb6a-518a7e8f44ae,146,3
f90dc994-1a8e-5703-9c54-29449bf5f7cf,144,3
28fbaf02-9cc2-5c6d-aedd-2838d589507e,143,3
73e3ac7e-8432-5182-877a-d59d974fd273,143,3
be606ef4-67da-57b3-a840-08ba8584b395,142,3
b3118b0d-1bba-508a-a9dc-466fdb748d10,142,3
dbdaff2a-084f-5c57-a7bb-f3fa8b791751,140,3
44b7288a-41e3-5b7b-89ef-b1529accba9d,140,3
6f28ff16-816d-57b2-85b9-87b1bc5be897,139,7
aa51a427-54e7-501f-88e3-70fd41850fd5,139,7
cef84c78-006e-5e43-952b-c10b0b18baab,139,3
2d8128e5-153a-5256-bc81-ab4e42bbec30,139,7
61643083-0f4a-5ac1-8f26-03ec9255d4e8,138,3
bd8c4442-5fc2-5d19-a7fd-a655d32fd99e,138,3
e592d71e-a112-5761-939e-c30f32cabca5,137,3
aed24063-6402-5fc2-82b9-23e67278a32b,137,3
7b7e5432-9ca2-5417-a220-11f749a47cd0,136,3
0618e1a0-0b2e-54bf-a245-da0dea3d3bd4,136,3
20b7eca8-931b-5558-bb9e-5792e2bceeee,136,3
6421032f-fbfc-533d-92ed-a5e430819437,136,3
10493e3d-70bd-533f-bcea-fe5f4e325928,134,3
3b39f733-a8c5-5fd0-a91e-49d27623eace,133,3
60ae0f45-2ed6-5ca3-9b82-3837d6202165,133,3
926fcd6f-4b2d-58ec-b327-225924f0d82c,133,7
46e71f87-5aea-550a-982f-59e918df1c5a,132,3
39aac83e-a439-56c8-8713-ed6a4d423642,132,3
80aa5dec-9ebf-528b-9c98-05dc1976e20f,132,7
40119d79-5bfb-5f77-91bd-183bcd3c2b3f,131,7
